license_text,yolo_confidence,ocr_confidence
G024IKG,0.63,"[0.1389637440443039, 0.5551525354385376, 0.984774112701416, 0.7185048460960388, 0.6946334838867188, 0.7518212795257568, 0.9979242086410522, 0.9983249306678772, 0.9996334314346313]"
EG22TXG,0.70,"[0.9850301146507263, 0.6362435817718506, 0.9998683929443359, 0.9991647005081177, 0.9706925749778748, 0.9999219179153442, 0.9999338388442993, 0.9999406337738037, 0.9999938011169434]"
EQ22TXU,0.79,"[0.9995255470275879, 0.8493819236755371, 0.9999711513519287, 0.9997343420982361, 0.9394752383232117, 0.9999873638153076, 0.4495798945426941, 0.9999852180480957, 0.9999986886978149]"
EQ22TXG,0.81,"[0.9999372959136963, 0.9685711860656738, 0.9996466636657715, 0.9991307854652405, 0.9639506340026855, 0.9998427629470825, 0.9993927478790283, 0.9999842643737793, 0.9999996423721313]"
E022TXG,0.82,"[0.9999126195907593, 0.7160890698432922, 0.9980767965316772, 0.9705309867858887, 0.9999791383743286, 0.9999047517776489, 0.9861840605735779, 0.9999972581863403, 1.0]"
EO22TXG,0.82,"[0.9996662139892578, 0.6645791530609131, 0.9978943467140198, 0.9999724626541138, 0.9999709129333496, 0.9999675750732422, 0.999849796295166, 0.9999980926513672, 0.9999994039535522]"
EO2ZTXG,0.57,"[0.9991165995597839, 0.783362090587616, 0.9834645986557007, 0.5155731439590454, 0.9323583245277405, 0.9995032548904419, 0.9915429353713989, 0.99958735704422, 0.9997574687004089]"
EU22TXG,0.58,"[0.9873020648956299, 0.7557358145713806, 0.9994819760322571, 0.9992133378982544, 0.9928653240203857, 0.9903042912483215, 0.8798636794090271, 0.9999942779541016, 0.9999996423721313]"
EO22TXC,0.55,"[0.9996289014816284, 0.5714359283447266, 0.6434815526008606, 0.8582872748374939, 0.7870076298713684, 0.9600599408149719, 0.5756940841674805, 0.9999483823776245, 0.9999799728393555]"
EU22TXC,0.53,"[0.9878809452056885, 0.9727477431297302, 0.9265612959861755, 0.7858538031578064, 0.8264744877815247, 0.9903022646903992, 0.3606342673301697, 0.9999746084213257, 0.999994158744812]"
EU22TKG,0.53,"[0.7224448323249817, 0.5104037523269653, 0.6899325251579285, 0.9954675436019897, 0.5538511872291565, 0.9561141729354858, 0.9837098121643066, 0.9999494552612305, 0.9999884366989136]"
EU241XG,0.51,"[0.9762787818908691, 0.6227903366088867, 0.5322304368019104, 0.4494941830635071, 0.7680443525314331, 0.5639573931694031, 0.857902467250824, 0.999202311038971, 0.9999498128890991]"
EU44TAG,0.56,"[0.9842288494110107, 0.5000940561294556, 0.4193245768547058, 0.6985448598861694, 0.998301088809967, 0.9469485282897949, 0.9346398115158081, 0.9993340373039246, 0.9997302889823914]"
E022TKG,0.50,"[0.9894324541091919, 0.4570457339286804, 0.5650783777236938, 0.951657772064209, 0.7792307734489441, 0.6892163753509521, 0.6766632795333862, 0.9998005032539368, 0.9998812675476074]"
A028EFP,0.54,"[0.6919288039207458, 0.8292132616043091, 0.5664998888969421, 0.5768171548843384, 0.25119975209236145, 0.5699087381362915, 0.26308050751686096, 0.8070487380027771, 0.9975032210350037]"
AD31FFP,0.59,"[0.9994507431983948, 0.25139284133911133, 0.521605908870697, 0.3496829867362976, 0.4370625913143158, 0.33645695447921753, 0.2631951570510864, 0.8852145075798035, 0.9984514713287354]"
AD37HFR,0.63,"[0.882610559463501, 0.4683062732219696, 0.44806066155433655, 0.4394071102142334, 0.8378146886825562, 0.7661181688308716, 0.4618966579437256, 0.8477404713630676, 0.9974454641342163]"
AT28MFP,0.68,"[0.2707533538341522, 0.2983868420124054, 0.30484578013420105, 0.23577293753623962, 0.18143293261528015, 0.6793637275695801, 0.49800905585289, 0.918097972869873, 0.9935950636863708]"
AA28PFP,0.55,"[0.9001642465591431, 0.24496173858642578, 0.6210432052612305, 0.4000597596168518, 0.2989383935928345, 0.5602433085441589, 0.32557564973831177, 0.6279658079147339, 0.9780325889587402]"
AD3145F,0.65,"[0.9727692008018494, 0.6012099981307983, 0.7380930185317993, 0.36557382345199585, 0.2746908962726593, 0.3713185787200928, 0.40081459283828735, 0.19104523956775665, 0.9409184455871582]"
AA445FP,0.59,"[0.9980167150497437, 0.8355745077133179, 0.40706107020378113, 0.2200099527835846, 0.1499415636062622, 0.42439892888069153, 0.7381503582000732, 0.7589735388755798, 0.9980466365814209]"
AAP746P,0.66,"[0.7269631624221802, 0.38207074999809265, 0.2449122816324234, 0.18084129691123962, 0.26714053750038147, 0.22707968950271606, 0.44534650444984436, 0.7840059399604797, 0.9984471201896667]"
MK3HHHP,0.67,"[0.34454894065856934, 0.32130056619644165, 0.4630325138568878, 0.16646750271320343, 0.19381973147392273, 0.17568396031856537, 0.344069242477417, 0.5595474243164062, 0.9682022333145142]"
WKHHH8P,0.77,"[0.20251427590847015, 0.26824820041656494, 0.6498844623565674, 0.4745396375656128, 0.6718769669532776, 0.22989852726459503, 0.6530454754829407, 0.5494365692138672, 0.9845831394195557]"
MHHHHHH,0.79,"[0.47181329131126404, 0.30354514718055725, 0.5679426789283752, 0.29604896903038025, 0.308439165353775, 0.70516037940979, 0.5717629790306091, 0.41104742884635925, 0.9387757182121277]"
WHHHHHH,0.63,"[0.6268681287765503, 0.46322232484817505, 0.4809882342815399, 0.6249772906303406, 0.5115240812301636, 0.21238918602466583, 0.5567622780799866, 0.8883973956108093, 0.9949442744255066]"
HHHHHHH,0.68,"[0.7119941711425781, 0.37491360306739807, 0.5148462057113647, 0.7599896788597107, 0.8467419147491455, 0.822966456413269, 0.8055318593978882, 0.5392966866493225, 0.9500449299812317]"
AA34443,0.63,"[0.8093345165252686, 0.29982107877731323, 0.2896949052810669, 0.3168782889842987, 0.207146555185318, 0.4001184105873108, 0.16226810216903687, 0.33543533086776733, 0.9172331690788269]"
AS236NX,0.59,"[0.6986302733421326, 0.13812699913978577, 0.8966702818870544, 0.2672077417373657, 0.1624457836151123, 0.29823797941207886, 0.09408942610025406, 0.6490391492843628, 0.9997088313102722]"
34333S9,0.68,"[0.2722081243991852, 0.35175904631614685, 0.8135175108909607, 0.26720860600471497, 0.4891400933265686, 0.2080506831407547, 0.16072411835193634, 0.20407578349113464, 0.9866699576377869]"
A182NS9,0.73,"[0.21178241074085236, 0.2772478759288788, 0.27271366119384766, 0.5759008526802063, 0.6721581220626831, 0.10282327234745026, 0.23712338507175446, 0.7077000141143799, 0.9991012811660767]"
AAM4593,0.74,"[0.6202484369277954, 0.41872742772102356, 0.14118507504463196, 0.14056488871574402, 0.18382512032985687, 0.21900637447834015, 0.330983430147171, 0.6620038151741028, 0.9949643611907959]"
63388R2,0.71,"[0.278389573097229, 0.4537205994129181, 0.7189248204231262, 0.5089221596717834, 0.3940694332122803, 0.14867839217185974, 0.14619524776935577, 0.8747079968452454, 0.9901244044303894]"
AO8328R,0.58,"[0.8510774970054626, 0.3986291289329529, 0.3935149312019348, 0.2921714782714844, 0.3443163335323334, 0.26162466406822205, 0.2229749709367752, 0.8411027789115906, 0.9999638795852661]"
KM84433,0.50,"[0.5011873841285706, 0.3082682192325592, 0.19911260902881622, 0.23238076269626617, 0.1634744107723236, 0.1860968917608261, 0.2413158267736435, 0.8265785574913025, 0.9961973428726196]"
X22N598,0.66,"[0.32038480043411255, 0.6110026836395264, 0.3275836110115051, 0.190127432346344, 0.2017877995967865, 0.2362547665834427, 0.17234830558300018, 0.8454766273498535, 0.9972907900810242]"
ABZN288,0.74,"[0.7320876717567444, 0.1500900685787201, 0.5191972851753235, 0.6798306703567505, 0.24323898553848267, 0.22808285057544708, 0.2981894910335541, 0.9113600254058838, 0.9986442923545837]"
834NN58,0.68,"[0.26289045810699463, 0.8235508799552917, 0.6055833101272583, 0.730360746383667, 0.6194453239440918, 0.3123353123664856, 0.2683233320713043, 0.9023922085762024, 0.9942522644996643]"
KB32839,0.54,"[0.1487048715353012, 0.23504573106765747, 0.23464590311050415, 0.20246368646621704, 0.2771725654602051, 0.4017614424228668, 0.28318384289741516, 0.5851898193359375, 0.9989703893661499]"
A333886,0.65,"[0.48580068349838257, 0.25630834698677063, 0.6950873732566833, 0.2727208435535431, 0.3998646140098572, 0.4258672893047333, 0.18808774650096893, 0.41823333501815796, 0.9979693293571472]"
XD2269A,0.72,"[0.4085903465747833, 0.4524526000022888, 0.7551500201225281, 0.18135270476341248, 0.1742444932460785, 0.13018448650836945, 0.14990568161010742, 0.293150395154953, 0.9855288863182068]"
AX2286R,0.74,"[0.702528178691864, 0.482724130153656, 0.4236316382884979, 0.23969264328479767, 0.41438379883766174, 0.297433465719223, 0.13348925113677979, 0.5509878396987915, 0.9993322491645813]"
5223882,0.72,"[0.4874599874019623, 0.20626072585582733, 0.7338196635246277, 0.23141084611415863, 0.47832411527633667, 0.39375874400138855, 0.12207359075546265, 0.474415123462677, 0.9985067248344421]"
W82NRRK,0.72,"[0.2686876654624939, 0.8301486372947693, 0.390593945980072, 0.31159794330596924, 0.40292295813560486, 0.3152051568031311, 0.5614407062530518, 0.8783971667289734, 0.9981999397277832]"
A826NBK,0.66,"[0.9025850892066956, 0.8131380081176758, 0.9895514845848083, 0.4359276592731476, 0.2518584430217743, 0.27730509638786316, 0.4292907416820526, 0.9762659072875977, 0.9999736547470093]"
A222MRH,0.65,"[0.7470254898071289, 0.23786421120166779, 0.4451322555541992, 0.5605366230010986, 0.17686696350574493, 0.1250135898590088, 0.09257940202951431, 0.8904180526733398, 0.9987567663192749]"
AX89283,0.70,"[0.3304249048233032, 0.420518159866333, 0.238937109708786, 0.7052561044692993, 0.3148561418056488, 0.192893847823143, 0.21879982948303223, 0.4779335856437683, 0.9916348457336426]"
AG928PP,0.74,"[0.5226526856422424, 0.5493301153182983, 0.2162531614303589, 0.14239844679832458, 0.1697576642036438, 0.3559242784976959, 0.23401311039924622, 0.9952972531318665, 0.9999063014984131]"
A327N97,0.75,"[0.9279157519340515, 0.6039354801177979, 0.40395987033843994, 0.2707989513874054, 0.5465750694274902, 0.15985845029354095, 0.1977478563785553, 0.9914592504501343, 0.9987988471984863]"
A321N9X,0.73,"[0.5656436085700989, 0.3021523654460907, 0.8383706212043762, 0.24223126471042633, 0.13569395244121552, 0.15122349560260773, 0.3534524142742157, 0.9781633019447327, 0.9999133348464966]"
K2299RR,0.71,"[0.7677834033966064, 0.13536053895950317, 0.9164319038391113, 0.6526430249214172, 0.4033992290496826, 0.14527727663516998, 0.21676801145076752, 0.9698464274406433, 0.9998482465744019]"
A824NRR,0.71,"[0.5143772959709167, 0.23872601985931396, 0.959372878074646, 0.23006267845630646, 0.2055143564939499, 0.3334428369998932, 0.6234956979751587, 0.8764708042144775, 0.9983080625534058]"
63X8HPX,0.69,"[0.48256024718284607, 0.4686753749847412, 0.26244133710861206, 0.4777827858924866, 0.2147643119096756, 0.09891015291213989, 0.15656454861164093, 0.791186511516571, 0.9982576966285706]"
AG34NSR,0.71,"[0.9604723453521729, 0.24630825221538544, 0.4389733076095581, 0.25136032700538635, 0.7196974754333496, 0.212585911154747, 0.12684501707553864, 0.9945904016494751, 0.9999544620513916]"
NB378NP,0.71,"[0.4770241975784302, 0.3057888448238373, 0.39180004596710205, 0.2609250545501709, 0.4007914960384369, 0.24993784725666046, 0.2605831027030945, 0.5844312310218811, 0.9964712858200073]"
NX82XSK,0.71,"[0.504645586013794, 0.22920972108840942, 0.20951272547245026, 0.184437096118927, 0.2864528298377991, 0.11434975266456604, 0.18059305846691132, 0.7512193322181702, 0.9958908557891846]"
A3218NP,0.75,"[0.8540029525756836, 0.7058733105659485, 0.8397755026817322, 0.5344350934028625, 0.19365453720092773, 0.27309009432792664, 0.3004332482814789, 0.39751869440078735, 0.9952191710472107]"
AD2881R,0.70,"[0.8902665972709656, 0.4993590712547302, 0.4973752200603485, 0.2405065894126892, 0.3299199640750885, 0.13436956703662872, 0.6461869478225708, 0.6744027137756348, 0.9964926838874817]"
AO23MSR,0.71,"[0.9947803020477295, 0.3508366644382477, 0.9974732995033264, 0.6347635984420776, 0.16730767488479614, 0.32009491324424744, 0.66074138879776, 0.9419967532157898, 0.9989508390426636]"
KA248RR,0.69,"[0.5504640340805054, 0.12940670549869537, 0.9582386612892151, 0.2063113898038864, 0.20802247524261475, 0.2529416084289551, 0.29335659742355347, 0.9784137010574341, 0.9999127388000488]"
R448RRR,0.70,"[0.42405393719673157, 0.6815926432609558, 0.6823650598526001, 0.15365144610404968, 0.17790503799915314, 0.7600933909416199, 0.23720113933086395, 0.918729841709137, 0.9994596838951111]"
R848NRR,0.71,"[0.7004273533821106, 0.14726300537586212, 0.5131887197494507, 0.25433415174484253, 0.1937350034713745, 0.43832120299339294, 0.19164083898067474, 0.9367353916168213, 0.9992064833641052]"
AG88NPP,0.71,"[0.7466835975646973, 0.35724446177482605, 0.34947121143341064, 0.44159841537475586, 0.346204549074173, 0.2518828809261322, 0.2209583967924118, 0.9239694476127625, 0.9997050166130066]"
NG8299P,0.73,"[0.4180279076099396, 0.6076205968856812, 0.2749999463558197, 0.19956174492835999, 0.21733762323856354, 0.37523165345191956, 0.20001216232776642, 0.8898602724075317, 0.9998704195022583]"
AO37RRP,0.73,"[0.2944822311401367, 0.21266798675060272, 0.7307831048965454, 0.279105007648468, 0.19413429498672485, 0.15507538616657257, 0.2600367069244385, 0.9807162880897522, 0.999977707862854]"
NO37NSP,0.70,"[0.24647271633148193, 0.29977676272392273, 0.762875497341156, 0.1982886642217636, 0.30235451459884644, 0.10639923065900803, 0.39497295022010803, 0.9832997918128967, 0.9999438524246216]"
AO32KSP,0.69,"[0.6462098360061646, 0.4425854980945587, 0.9099248647689819, 0.33162736892700195, 0.1764911562204361, 0.15859456360340118, 0.2823866307735443, 0.8426438570022583, 0.9998453855514526]"
